open issues,closed issues,open pull requests,closed pull requests,merged pull requests
392,2716,56,1020,5082
392,2716,56,1020,5082
392,2716,56,1020,5082
392,2716,56,1020,5082
386,2774,132,1043,5845
386,2774,114,1060,5870
392,2779,53,1063,6179
393,2779,55,1063,6197
397,2665,69,963,6790
397,2666,69,963,6791
400,2691,60,967,7128
400,2690,61,967,7128
400,2717,58,975,7377
397,2769,61,1051,7976
397,2769,61,1051,7976
406,2781,64,1086,8445
406,2781,63,1086,8446
427,2915,70,1134,9296
439,2964,71,1160,9615
439,2964,71,1160,9615
439,2964,71,1160,9615
416,3045,80,1237,9988
416,3045,80,1237,9988
416,3045,80,1237,9988
416,3045,80,1237,9988
416,3045,80,1237,9988
418,3045,103,1237,10013
406,3134,69,1254,10405
406,3134,69,1254,10405
406,3134,69,1254,10405
406,3134,69,1254,10405
406,3134,69,1254,10405
410,3213,76,1300,11152
409,3214,77,1300,11152
511,3332,138,1348,11917
512,3332,135,1349,11923
512,3332,135,1349,11923
511,3333,134,1349,11925
511,3334,134,1349,11927
511,3334,134,1349,11927
511,3334,134,1349,11927
511,3334,134,1349,11927
511,3334,134,1349,11927
511,3334,134,1349,11927
498,3405,177,1384,12030
497,3406,182,1384,12030
493,3413,187,1388,12052
379,3648,75,1554,13405
379,3648,75,1554,13405
381,3678,77,1559,13941
389,3699,75,1566,14273
